code,name,roe,net_profit,np_margin,gp_margin
sz.002154,sz.002154,4.9794,2.3756909632,16.5021,65.5547
sz.002763,sz.002763,4.9726,1.0560383725,13.902999999999999,69.41040000000001
sz.000538,sz.000538,4.960500000000001,20.3058120488,17.5011,30.633100000000002
sh.603565,sh.603565,4.9209000000000005,5.2677869024,20.4294,33.4725
sh.688208,sh.688208,4.9171,1.8338438540000002,14.1152,56.1661
sz.301015,sz.301015,4.9067,1.5545834218999999,8.7149,39.4791
sh.603766,sh.603766,4.9004,4.7619236621,10.5298,19.459799999999998
sh.603337,sh.603337,4.8966,2.6191759816999998,12.9449,32.4079
sh.600105,sh.600105,4.8904000000000005,1.4748776219,11.84,26.1967
sz.002266,sz.002266,4.880199999999999,6.1782108962,9.9931,18.4599
sz.002833,sz.002833,4.8777,1.4674784583000002,18.7687,33.781299999999995
sh.600601,sh.600601,4.875100000000001,2.3163323609,14.813399999999998,30.5165
sh.603049,sh.603049,4.8427999999999995,12.1962122326,10.8985,23.0331
sh.601233,sh.601233,4.832,19.044304228399998,8.152,9.0935
sz.002916,sz.002916,4.8254,8.5129185645,12.906999999999998,29.169
sz.300274,sz.300274,4.81,22.4593374173,14.433399999999999,33.2629
sh.601058,sh.601058,4.798299999999999,10.742165811500001,11.3544,26.8622
sh.603031,sh.603031,4.7791,3.1701023211000003,23.8259,52.31099999999999
sh.600259,sh.600259,4.778700000000001,1.6462811388999998,10.7254,7.224600000000001
sh.600938,sh.600938,4.7741,391.84,33.7563,51.1738
sz.002946,sz.002946,4.7698,1.9137935786000002,6.732,29.966900000000003
sz.002947,sz.002947,4.7686,1.5158118518,21.232300000000002,34.7468
sz.301345,sz.301345,4.7654000000000005,1.7630347369,16.6484,40.902
sz.300832,sz.300832,4.7445,4.41991297,39.1633,73.4794
sh.600993,sh.600993,4.7389,2.1928198105,21.6604,48.2022
sz.000999,sz.000999,4.7376000000000005,12.0942239251,14.8763,57.6796
sz.001339,sz.001339,4.7288,1.9912366759,15.2813,31.021900000000002
sz.300054,sz.300054,4.6983999999999995,2.6087420613,25.5733,54.947100000000006
sh.600595,sh.600595,4.6874,7.7237682957,11.6329,20.4768
sz.300206,sz.300206,4.6798,1.0621602286,20.5731,58.4325
sh.688796,sh.688796,4.6687,1.0403442945,24.0233,78.8794
sh.601958,sh.601958,4.6599,9.9904768107,24.0288,38.3152
sh.688278,sh.688278,4.6468,1.6449447521,20.6187,89.4539
sh.600332,sh.600332,4.6122000000000005,18.2377525095,7.8349,20.3114
sh.600026,sh.600026,4.5938,22.954258566799997,31.429499999999997,42.6583
sh.603162,sh.603162,4.5920000000000005,2.1039637693,15.6621,19.868199999999998
sh.688630,sh.688630,4.5859,1.083926417,21.0585,40.944199999999995
sh.603816,sh.603816,4.5797,5.0417101397,10.017800000000001,33.5937
sz.002810,sz.002810,4.569999999999999,1.0529067623000001,17.647199999999998,32.321600000000004
sh.600499,sh.600499,4.5568,9.040407,19.1266,34.3742
sz.300577,sz.300577,4.5549,1.0423416874,8.2904,24.2463
sz.000600,sz.000600,4.5525,8.3724975251,13.3651,22.9765
sz.002772,sz.002772,4.5438,1.6333532365,27.133200000000002,39.3489
sh.600167,sh.600167,4.5411,5.394578406900001,34.063900000000004,46.274300000000004
